date,kor_title,eng_title,grammar,grammar_desc
20181102,남자 주인공이 여자 주인공에게 헤어지자고 했어요.,The main male character asked the female main character to break up.,AVst자고 해요(했어요).,"It is an expression of indirect speech for 'AVst읍시다/ㅂ시다.‘, and ’AVst어요/아요/여요.‘ in a suggestion sentence. The short form is 'AVst재요.’."
20181103,제 딸이 이제 동물원에 가지 말자고 했어요.,My daughter told me not to go to the zoo any more.,AVst지 말자고 해요(했어요).,"It is an expression of indirect speech for 'AVst지 맙시다.‘, and ’AVst지 마요.‘ in a suggestion sentence. The short form is 'AVst지 말재요.’."
20181105,김치찌개가 참 맛있었다고 했어요.,They said the Kimchi stew was really delicious.,Vst었다고/았다고/였다고 해요(했어요).,"It is an expression of indirect speech for 'Vst었습니다/았습니다/였습니다.‘, and ’Vst었어요/았어요/였어요‘ in a declarative sentence. The short form is 'Vst었대요/았대요/였대요.’."
20181106,마트에서 불고기 양념을 사다가 넣을래요.,I will buy seasoning for Korean grilled marinated beef at the supermarket and then put it in the dish.,AVst어다가/아다가/여다가,It is used to indicate that an action in the latter clause is done in another place afterwards with the result of an action in the preceding clause that has already taken place.
20181107,친구들이 곧 우리 집에 도착할 거라고 했어요.,My friends said they would soon arrive at my house.,Vst을/ㄹ 거라고 해요(했어요).,"It is an expression of indirect speech for 'Vst을/ㄹ 겁니다.‘, and ’Vst을/ㄹ 거야.‘ in a declarative sentence. The short form is 'Vst을/ㄹ 거래요.’."
20181108,고향에서 자주 먹던 음식이 뭐예요?,What is the food that you used to eat in your hometown?,AVst던,It is used to indicate an action which has stopped without being completed or has continued or repeated for a certain period in the past. It modifies the following noun.
20181109,다른 분들도 비법이 뭐냐고 해요.,Other people also ask what is the secret. ,Vst냐고 해요(했어요).,It is an expression of indirect speech for 'Vst습니까/니까?' and 'Vst어요/아요/여요?' in an interrogative sentence. The short form is 'Vst냬요.'.
20181110,지난번에 네가 끓여 줬던 라면도 정말 맛있었어.,The ramen that you cooked last time was really delicious.,Vst었던/았던/였던,It is used to recall a past experience that happened just one time or a past event or fact that has already completed. It modifies the following noun.
20181112,"저는 한 이틀만 많이 먹어도 2, 3킬로그램(kg)이 찌던데요.",I remember I gained two or three kilograms after eating a lot for only about two days.,Vst던데요.,It is used to state now a fact which the speaker saw or felt personally in the past.
20181113,의사 선생님이 음식을 싱겁게 먹으라고 했어요.,The doctor told me to eat less salty food.,AVst으라고/라고 해요(했어요).,It is an expression of indirect speech for 'AVst으십시오/십시오.' and 'AVst으세요/세요.' in an imperative sentence. The short form is 'AVst으래요/래요.'.
20181114,내가 매번 이야기하는데도 룸메이트가 달라지지 않아.,My roommate doesn't change even though I talk every time.,Vst는데도/은데도/ㄴ데도,"It is used when a situation in the latter clause happens regardless of a situation in the preceding clause. '-는데도' is used after an action verb stem. When a descriptive verb stem ends in a consonant, use '-은데도', and when it ends in a vowel, use '-ㄴ데도'. '인데도' is used after a noun."
20181115,가족들이 같이 이야기할 때는 핸드폰을 보지 말라고 했어요.,I told him/her not to look at the cellphone when the family is talking together. ,AVst지 말라고 해요(했어요).,It is an expression of indirect speech for 'AVst지 마십시오.' and 'AVst지 마세요.' in an imperative sentence. The short form is 'AVst지 말래요.'.
20181116,제 친구들도 이제 거의 다 흰머리가 났던데요.,I found out that almost all of my friends now have gray hair.,AVst었던데요/았던데요/였던데요.,It is used to state now something that the speaker saw or found out in the past.
20181117,취직하고 싶은데 취직을 못 할까 봐 걱정이야.,I want to get a job. But I am worried that I might not get a job.,Vst을까/ㄹ까 봐,"It is used when someone is worried or afraid of a certain action or state. When an action verb stem or a descriptive verb stem ends in a consonant, use '-을까 봐‘, and when it ends in a vowel, use '-ㄹ까 봐’."
20181119,재활용 쓰레기통이 따로 놓여 있어요.,There continue to be recyclable garbage bins separately placed.,AVst어/아/여 있어요.,It is used to indicate the continuation of the state after an action is completed. It is used with an action verb stem that has no object.
20181120,조금 귀찮기는 한데 환경을 위해서 텀블러를 사용하는 게 좋을 것 같아요.,"I admit that it's a bit bothersome, but it's good to use tumblers for environment.",Vst기는 하는데/한데,"It is used to admit the contents of the preceding clause but highlight a contradictory statement in the latter clause. ‘-기는 하는데’ is used after an action verb stem. '-기는 한데‘ is used after a descriptive verb stem. '이기는 한데’ is used after a noun. The short form is '-긴 하는데, -긴 한데, or 이긴 한데‘."
20181121,내가 자주 가는 중고품 가게를 알려 줄 테니까 너도 한번 가 봐.,"I will tell you the second-hand store that I go to often, so you should try it.",AVst을/ㄹ 테니까,"It is used to indicate the speaker's intention of an action or work with a reason for the latter clause. A command or suggestion comes up in the latter clause. When an action verb stem ends in a consonant, use '-을 테니까‘, and when it ends in a vowel, use' -ㄹ 테니까’."
20181122,대중교통을 이용하는 사람이 많으면 많을수록 공기가 깨끗해질 거예요.,"The more people use public transportation, the cleaner the air will be.",Vst으면/면 Vst을수록/ㄹ수록,"It is used to express the increase in intensity of a certain situation or degree. When an action verb stem or a descriptive verb stem ends in a consonant, use '-으면 -을수록‘, and when it ends in a vowel, use '-면 -ㄹ수록’."
20181123,요즘 음식을 남기면 벌금을 내야 하는 식당이 있다면서요?,I heard that there are restaurants where you have to pay a fine for leaving food. (Is it true?),Vst는다면서요/ㄴ다면서요/다면서요?,"It is used to ask the other person to confirm the fact that the speaker has heard of somewhere else. When an action verb stem ends in a consonant, use '-는다면서요?‘, and when it ends in a vowel, use, '-ㄴ다면서요?’ ‘-다면서요?’ is used after a descriptive verb stem."
20181124,생활 습관을 갑자기 모두 바꾸려면 힘들 테니까 하나씩 해 보세요.,"It's difficult to change your daily habits all of a sudden, so try them one by one.",Vst을/ㄹ 테니까,It is used to indicate the speaker's guess of an action or work with a reason for the latter clause. A command or suggestion comes up in the latter clause.
20181126,자기가 준 선물을 다 달라고 했어요.,He asked me to return all the gifts that he has given to me.,N을/를 달라고 해요(했어요).,It is an expression of indirect speech for '(저에게) N을/를 주십시오(주세요).‘. The short form is 'N을/를 달래요(달랬어요).’. ‘N을/를 N/에게 주라고 해요(했어요)’ is an expression of indirect speech to ask someone else instead of me for something. (e.g. 저는 누나에게 과자를 달라고 했어요.(I asked my elder sister for a cookie)/ 저는 누나에게 과자를 동생에게 주라고 했어요.(I asked my elder sister to give a cookie to my younger brother/sister.))
20181127,여자 친구가 그냥 작은 선물을 사 달라고 했어요.,My girlfriend told me to buy just a small gift.,N에게 N을/를 AVst어/아/여 달라고 해요(했어요).,It is an expression of indirect speech for '(저에게) AVst어/아/여 주십시오(주세요).‘ . The short form is 'AVst어/아/여 달래요(달랬어요).’.
20181128,어젯밤에 전화를 안 받던데 일찍 잤어?,You didn’t answer the phone last night. (Considering this) Did you go to bed early?,Vst던데,"It is used when the speaker's experience in the preceding clause becomes the background or situation of the latter clause. An interrogative, imperative, or suggestion sentence comes up in the latter clause. '이던데‘ is used after a noun."
20181129,네가 아침에 전화로 깨워 준 덕분에 늦지 않았어.,"Thanks to your wake-up call in the morning, I wasn't late.",AVst은/ㄴ 덕분에,"It is used to indicate the reason for a positive outcome. When an action verb stem ends in a consonant, use '-은 덕분에‘, and when it ends in a vowel, use '-ㄴ 덕분에’."
20181130,거긴 멀어서 가려면 오래 걸릴 텐데 그냥 이 근처에서 먹는 게 어때?,"It will take long to go there because it's far, so why don't we eat somewhere near here?",Vst을/ㄹ 텐데,"It is used when the speaker suggests or asks something in the latter clause based on his/her guesses. When an action verb stem or a descriptive verb stem ends in a consonant, use '-을 텐데‘, and when it ends in a vowel, use '-을 텐데’. ‘일 텐데’ is used after a noun."
20181201,네가 대학원을 졸업하고 나서 결혼하는 게 좋을 것 같아.,We'd better get married after you graduate from a graduate school.,AVst고 나서,It is used when the latter clause happens after the preceding clause has been completed.
20181203,10명요.,10 people.,N요.,"It is used with nouns, adverbs, and connective endings. It is used through the use of honorific language for the listener. It is used when you have a response related with the question by using ‘요' as the short answer."
20181204,모임이 취소돼서요.,The meeting is cancelled.,Vst어서요/아서요/여서요.,"It is used with an action verb or a descriptive verb stem. It is used when the sentence ends. It is the ending for the reason of the preceding clause. It is used for a combination with ‘-어서/아서/여서' as a cause and effect and a ‘요' is an ending expression of the Honorific word. ‘- 아서요' is used if the last syllable of the action verb stem or if the descriptive verb stem is ‘ ㅏ, ㅗ' ‘ -어서요' is used if the last syllable of the other vowels is ‘ ㅓ, ㅜ, ㅡ, ㅣ ‘. ‘- 여서(해서)’ is used if ‘ 하-’ is used."
20181205,손님은 언제 오신대요?,When is the guest coming?,Vst는대요/ㄴ대요/대요.,"It is used for action verbs or descriptive verbs that include a base word. When the speaker transfers his/her understanding of the meaning, reading, or explaining of the previous contents and information, these usages are used as an abbreviation form of indirect quotation, -는다고/ㄴ다고/다고 해요. ‘-는대요' is used if it ends with the consonants of an action verb stem. ‘-ㄴ대요' is used if it ends with a vowel of an action verb stem. ‘- 대요' is used if it ends with a descriptive verb stem."
20181206,저희가 급해서 그런데 제일 빨리 되는 음식이 뭐예요?,We're in a rush but what is the quickest food that can be prepared?,Vst어서/아서/여서 그런데,"It is used with an action verb stem or descriptive verb stem. It is used when you ask a question or suggestion to the preceding clause, making it become a reason. It is combined with ‘어서/아서/여서’ as expression of cause and effect and ‘그런데’. -아서 그런데' is used if the last syllable of action verb or descriptive verb stem is ‘ㅏ,ㅗ'. ‘-어서 그런데' is used if the last syllable of the other vowels is ‘ㅓ,ㅜ,ㅡ, ㅣ'. ‘-여서(해서) 그런데' is used if ‘하-’ is used."
20181207,매울 것 같아서 안 매운 걸로 먹으려고요.,"It seems like it will be spicy, but we want to eat something that isn't spicy.",Vst을/ㄹ 것 같아서,"It is used with an action verb stem or descriptive verb stem. It is used to explain the situation after the preceding clause states its reasons. It is combined with a Cause or Guessing form, -을/ㄹ 것같다. And -어서/아서/여서 is used for Effect. ‘-ㄹ 것 같아서' is used if the active verb or descriptive verb stem ends with vowel or ‘ㄹ'. ‘-을 것 같아서' is used if the active verb or descriptive verb stem ends with the rest of consonants."
20181208,맛있게 드셨다니 다행이네요.,It's a relief that you've enjoyed your meal.,Vst었다니/았다니/였다니 다행이다,"It is used with an action verb stem or descriptive verb stem. It is used next to the ending word of an action verb or descriptive action verb while the situation has solved the problem after the listener has heard the situation. It is a combination of ‘-다니’ which is expression for reason and evidence in indirect quotation with past verb form, ‘-었/았/였- and -었다니/았다니/였다니’ which is combined with word ‘다행이다'. ‘-았다니 다행이다' is used if the last syllable of active verb or descriptive verb stem is ‘ㅏ,ㅗ' ‘-었다니 다행이다' is used if the rest of other vowels is ‘ ㅓ,ㅜ,ㅡ,ㅣ'. ‘- 였다니(했다니) 다행이다' is used if ‘하-’ is used."
20181210,나도 기차표 예매하러 갔었는데 이미 매진됐던데.,I also went to book a train ticket but it was all sold out.,Vst었었다/았었다/였었다,"It is used with an action verb stem or descriptive verb stem. It is used when the present content of the story is different from an expression in the past. In other words, even though it happened in past, due to some circumstances, it has changed the situation although it may not be currently happening. ‘-았었-’ is used if the last syllable of active verb or descriptive verb stem is ‘ㅏ,ㅗ'. ‘-었었-’ is used if the rest of other vowels is ‘ ㅓ,ㅜ,ㅡ,ㅣ'. ‘-였었(했었)-’ is used if ‘하-’ is used."
20181211,빈손으로 갈 수는 없으니까 준비해야지.,We can't go empty handed so we have to prepare something.,AVst어야지요/아야지요/여야지요.,"It is used with an action verb stem. It is used when you kindly ask a favor to someone or give an advice. ‘ - 아야지요’ is used if the last syllable of an ending is an action verb stem for ‘ㅏ,ㅗ’. ‘-어야지요’ is used for the other vowels (ㅓ,ㅜ, ㅡ,ㅣ). ‘-여야지요(해야지요)’ is used for the ‘하-’. ‘-어야지’ is used towards younger persons or close persons."
20181212,재료는 여기 내가 다 준비해 놨어.,I prepared all the ingredients.,AVst어/아/여 놓다,"It is used with an action verb stem. It is used when you want to keep the result after you finish the action. ‘-아 놓다’ is used if the last syllable of the action verb stem is ‘ ㅏ, ㅗ’ . ‘-어 놓다’ is used for the other vowels ( ㅓ, ㅜ, ㅡ, ㅣ). ‘-여(해) 놓다’ is used for ‘하-’."
20181213,먼 길 오느라고 힘들었을 텐데 좀 쉬어라.,It must have been tiring coming from such a long way.,AVst어라/아라/여라.,"It is used with an action verb stem. It is used when the speaker demands or directs to the listener for doing some work. It is used as a form of an imperative. It is an informal way to talk down of ‘-으십시오/십시오.” This is acceptable when the speaker is talking to close friends or younger persons. ‘-아라' is used if the last syllable of active verb stem is ‘ㅏ,ㅗ' . ‘ -어라' is used if the last syllable of active verb stem is ‘ ㅓ, ㅜ,ㅡ, ㅣ' . ‘- 여라(해라)’ is used if ‘하-’ is used."
20181214,이번 시험에 꼭 합격하기 바라.,I hope you will pass this exam.,AVst기 바라다,"It is used with an action verb stem. This is used for when you express your wish for someone to fulfill their expectations.It is used with the ending of descriptive verb such as ‘건강하다, 행복하다’ for as a greeting expression.  Even though ‘바라, 바라요' is used as a correct grammatical expression, ‘바래, 바래요' is used during daily conversation."
20181215,걱정돼서 그렇게 말씀하시는 거 아닐까?,Are they speaking like that because they're worried?,Vst는/은/ㄴ 거 아닐까요?,"It is used with an action verb and descriptive verb stem. It is used when the speaker assumes, internally, carefully considering the intention of the listener’s thought or opinion. It is combined with negative expression ‘-는/은/ㄴ 거 아니다’ and ‘을까요/ㄹ까요?’ as an expression assuming through a question. ‘-는 거 아닐까요?’ is used for the end of an active verb stem, ‘있다’ or ‘ 없다’, ‘-ㄴ 거 아닐까요? ‘ is used for vowel or with ‘ㄹ’ ending of a descriptive verb stem. ‘- 은 거 아닐까요?’ is used for ending with consonants of a descriptive verb stem. ‘- 는/은/ㄴ 게 아닐까요?’ is possible to use, too."
20181217,"보증금에 따라 다르지만 대략 4,50만 원 정도 해요.","It depends on the deposit, but it usually costs about 400,000 won or 500,000 won.",N에 따라,"It is followed by a noun. The following clause becomes the standard after the preceding phrase with a noun. ‘다르다, 달라진다’ are the most useful verbs for the following clauses."
20181218,보증금을 더 올린다고요?,You want to raise the deposit?,Vst는다고요/ㄴ다고요/다고요?,It is used with an action verb or descriptive verb stem. It is used when the speaker is trying to make an assurance or asking a question again. The speaker should raise the voice at the end of the word. ‘-는다고요?’ is used if the action verb stem ends with consonants. ‘ -ㄴ다고요?’ is used if the action verb stem ends with vowels. ‘-다고요?’ is used if it ends with a descriptive verb stem.
20181219,집이 남향이라서 그래요.,It's because the house is southbound.,N이라서/라서 그래요.,It is used with a noun. It is used when it expresses the reason for a decision or as evidence. It is combined with ‘ N이라서/라서' as reason and ‘그래요' as a directive word. ‘이라서' is used if the noun ends with consonants. ‘라서' is used if the noun ends with vowels.
20181220,방 전체를 도배하는 대신 더러운 벽만 새 벽지를 붙여 주겠다고 하는데요.,"Instead of painting the whole room, he says he will only put a new wallpaper on the dirty wall.",Vst는/은/ㄴ 대신에,"This expression indicates that the action in the preceding clause can either be replaced by another action or that another action can compensate for the action in the preceding clause. ‘-는 대신에' is used if it ends with the action verb, ‘있다', ‘없다' verb’s stem. ‘-ㄴ 대신에' is used if it ends with vowel or with ‘ㄹ' of the descriptive verb stem. ‘-은 대신에' is used if it ends with the rest of consonants of the descriptive verb stem. ‘에' is able to omit from ‘ 대신에'"
20181221,다음 주쯤 이사할 생각이에요.,I am thinking of moving next week.,AVst을/ㄹ 생각이다,"It is used as an action verb ending, expressing whether someone has a plan or thought to demonstrate the action. ‘-ㄹ 생각이다' is used for vowel or ‘ㄹ' with action verb endings; otherwise, ‘-을 생각이다' is used as a consonant ending."
20181222,사장님이 되게 친절하더라.,The boss seemed very kind.,Vst더라.,"It is used with an active verb or descriptive verb stem. It is used when the speaker has the experience in the past directly or when the speaker expresses his/her strong feelings to share with friends or younger person. However, the behavior by the speaker is not acceptable."
20181224,도자기 구경은 물론이고 도자기 만드는 체험도 할 수 있어.,You can definitely observe some ceramics as well as have experience in making ceramics.,N은/는 물론이고 N도,"It is used when the first noun is agreeable about the following clause. The second noun is used as an agreeing statement to the preceding clause. ‘은 물론이고' is used if the noun ends with a consonant, but ‘는 물론이고' is used as an ending with a vowel. Also, it is used for ‘ N은/는 물론 N도’. The particles such as ‘에', ‘에서, ‘에게' are able to follow a noun."
20181225,옷이 더러워질 수 있다고 하니까 갈아입을 옷이 있으면 좋아.,It will be good to bring extra clothes to wear because it might get dirty.,Vst는다고/ㄴ다고/다고 하니까,"It is used with an action verb or descriptive verb stem. It is used to demand or suggest the reaction of the following clause which is based on one’s statement. It is combined with the expression by ‘-는다고/ㄴ다고/다고 하다, an indirect quotation and ‘ -으니까/니까 ‘as reason expression. ‘-는다고 하니까' is used if it ends with the consonant of action verb stem. ‘-ㄴ다고 하니까' is used if it ends with the vowel. ‘-다고 하니까' is used for the ending of descriptive verb stem."
20181226,하긴 회사원이 주말에도 일찍 일어나기란 쉬운 일이 아니지.,"Well sure, it's not easy for an office worker to get up early on the weekend.",AVst기란 쉬운 일이 아니다,"It is used with an active verb stem. It is used to emphasize when the preceding clause describes a tough or difficult situation in lifestyle. It is used for ‘어렵다, 힘들다’ which could be used instead of ‘쉬운 일이 아니다’."
20181227,이 부분은 두껍게 만들어야지 그렇지 않으면 구울 때 깨질 수 있어요.,You have to make this part thicker or it will break when you bake it.,Vst어야지/아야지/여야지 그렇지 않으면,"It is used with an action verb or descriptive verb stem. The first clause must have a condition and the following clause expresses a result, if the condition is not fulfilled. Usually, the following clause has negative content. .‘-아야지 그렇지 않으면' is used if the ending syllable of active verb or descriptive verb stem is ‘ㅏ,ㅗ' . ’-어야지 그렇지 않으면' is used if the ending syllable of the other vowels’ is 'ㅓ, ㅜ, ㅡ, ㅣ', ’-여야지(해야지) 그렇지 않으면' is used if ‘하-’ is used."
20181228,옆에 술잔이 있는 걸 보면 술병인 거 같아.,It looks like a wine bottle because there is a wine glass next to it.,Vst는/은/ㄴ 걸 보면,"It is used with an action verb or descriptive verb stem. It is used when the speaker expresses the contents of assuming, evidence, and reason. At this time, the evidence of assuming content is confirmed by the speaker directly, and ‘-는/은/을 것 같다’, is a guessing form of how the verb comes in the following clause. ‘-는 걸 보면' is used if it ends with verb stem of an action verb, ‘있다',’ 없다'. ‘-ㄴ 걸 보면' is used if it ends with vowel or with ‘ㄹ' of a descriptive verb stem. ‘-은 걸 보면' is used if it ends with the rest of consonants of a descriptive verb stem."
20181229,도자기를 만들어 봤단 말이야?,"So, you've made pottery?",Vst는단/ㄴ단/단 말이에요?,It is used with an action verb or descriptive verb stem. It is used when you ask for confirmation about what you know about the information.It is used when you are unable to believe in someone. ‘-는단/ㄴ단/단' is an abbreviation form of ‘-는다는/ㄴ다는/다는'. '-는단 말이에요.’ is used if it ends with the consonant of an action verb stem. ‘ -ㄴ단 말이에요.’ is used if it ends with a vowel of an action verb stem.  ‘-단 말이에요.’ is used if it ends with a descriptive verb stem.
20181231,전에 핸드폰 화면이 안 나올 때 어떻게 하는지 읽었던 것 같아요.,"I think, last time, I read about what to do when my phone screen does not show up.",Vst었던/았던/였던 것 같다,"It is used with an action verb or descriptive verb stem. It is used when the speaker is not sure about the decision or information of the past. ‘ -았던 것 같다' is used if the last ending syllable of the action verb or descriptive verb stem is ‘ ㅏ,ㅗ' . ‘ -었던 것 같다' is used if the other vowel is ‘ㅓ ,ㅜ,ㅡ,ㅣ’. ‘- 였던 (했던) 것 같다.’ is used if ‘하-’ is used."
20190101,수리비가 너무 비싸거든 차라리 새것으로 바꾸세요.,"It's too expensive to repair. Instead, just change it for a new one.",Vst거든,"It is used with an active verb or descriptive verb stem. It is used when it suggests about the behavior or condition of the preceding clause by demonstrating the action of the following clause as a requirement. Mainly, ‘-으십시오', ’-읍시다' which indicates a command, suggestion, request, and promise, that comes after the following clause."
20190102,새 모델이 기능도 다양하고 해서 바꿨어요.,I changed it because new models have many features.,Vst고 해서,It is used with an action verb or descriptive verb stem. It is used if the content of the preceding clause has only one reason among several reasons about the behavior or action of the following clause.
20190103,"그럼, 이 은색 핸드폰이 좋겠군요.","Then, this silver cell phone would be nice.",Vst겠군요.,It is used with an action verb and descriptive verb stem. It is used to express how situation would happen that can be assumed after the listener hears about it from the speaker.
20190104,이 제품은 파일을 다운로드하는 게 어렵다고 하던데 정말 그런가요?,"I've heard that this product has difficulty in downloading files, is this true?",Vst는다고/ㄴ다고/다고 하던데,"It is used with an action verb or descriptive verb stem. It is used when to make sure about what you hear from someone, like a suggestion about action, or when persuading someone. It is used as an expression with usage of indirect quotation, ‘-는다고/ㄴ다고/다고 하다’ ,and combining ‘-던데’ for past tense. ‘ -는다고 하던데’ is used if it ends with a consonant of an action verb stem. ‘-ㄴ다고 하던데’, is used if it ends with a vowel . ‘-다고 하던데’ is used if it ends with a descriptive verb stem."
20190105,요즘 일하느라고 바빠서 케이스 살 생각도 못 했어요.,I have been busy working these days and did not even think about buying a case.,AVst느라고,"It is used for the ending word of an action verb which indicates that the statement given in the preceding clause is the reason for, or cause of, the following clause. In most cases, the following clause is negative in nature about cause or effective action which has occurred as a result."
20190107,힘들지. 그래도 용돈을 벌 수 있잖아.,"I am tired. But, I can still earn pocket money.",Vst지요.,"It is used with an action verb stem or descriptive verb stem. It is used when the speaker assumes that the listener knows about what speaker’s any facts or statements. Mainly, it is used to to show whether or not you agree about someone’s opinions or as a reconfirmation."
20190108,편의점이나 식당 같은 데서 하지.,Do a part-time job at a convenience store or restaurant.,N이나/나 N 같은 N,"It is used between a noun and a noun for making a list. ‘같은', which is called a hypernym, is used to be is able to represent or replace into one category of the all previous examples or noun list. It is used for ‘이나' when noun ends with consonant, but ‘나' for vowel."
20190109,공강 시간을 활용해서 일을 하는 거라서 수업을 들으면서 할 만해.,It seems like a job to do to use the free time to work and still be able to take classes.,Avst을/ㄹ 만하다,"It is used with an action verb stem, denoting whether the action is appropriate or valuable. It is used for ‘-ㄹ 만하다' when it is with vowel on an action verb stem or ending with ‘ㄹ', but, ‘- 을 만하다' is used if it ends with other consonants."
20190110,중국에서 왔어요.,I'm from China.,N에서 왔다,"It is used with a noun, regarding where you are from. It is used together with a country or a city name."
20190111,이렇게 갑작스럽게 스케줄을 변경하시면 좀 곤란한데요.,It's a little troubling to have to change the schedule so suddenly.,Vst는데요/은데요/ㄴ데요.²(거절),"It is used with an action verb or descriptive verb stem. It is used when you consider the reaction of the listener while you reject his/her suggestion nicely or smoothly. It is used ‘-는데요’ at the end of an action verb stem, ‘있다’, ‘없다’. It is used ‘-ㄴ데요’ for the end of vowel or end of descriptive verb stem with ‘ㄹ’ ending. Otherwise, it is used ‘-은데요’ after the end of a descriptive verb stem with the rest of consonants’ ending."
20190112,나 대신에 아르바이트 좀 해 줘.,Do my part-time job instead of me.,N 대신에,"It is used to after a noun which indicates the other noun instead of the previous noun. In conversation, ‘대신' is more useful than the statement."
20190114,나랑 결혼해 줄래?,Will you marry me?,Avst어/아/여 줄래요?,"It is used after an action verb. It used when the speaker asks for help to  speaker or the 3rd person. ‘-아 줄래요? is used if the last ending syllable of action verb stem is ‘ ㅏ,ㅗ'. ‘- 어 줄래요? is used if the last ending syllable of action verb stem in other vowels( ㅓ, ㅜ,ㅡ , ㅣ) -여 (해) 줄래요? Is used if ‘하-’ is used."
20190115,김우빈이라고 합니다.,I am Kim Woobin.,N이라고/라고 하다²(지칭),It is used with a noun when it proclaims that it is called. It can be used when you say your name in a formal situation.‘ 이라고 하다' is used if noun ends with consonants. and ‘라고 하다' is used if the noun ends with vowels.
20190116,계약금 천만 원을 입금하래.,"You need to deposit 10,000,000 won for the down payment.",Avst으래요/래요.,"It is used after an action verb and is used when you deliver the commanding message to other. It is an abbreviation form of ‘-으라고/라고 해요' ‘-래요' is used when it is an action verb ending with vowels or ending with ‘ㄹ', otherwise, ‘-으래요' is used for ending with the other consonants."
20190117,결혼 준비는 잘돼 가?,Is the wedding planning going well?,AVst어/아/여 가다,"It is used with an action verb stem and it indicates that the action is going to continue toward the end continuously. ‘-아 가다' is used if the last syllable of action verb stem is ‘ㅏ,ㅗ', ‘- 어 가다' is used if the last syllable of the other vowels arise ‘ ㅓ, ㅜ, ㅡ, ㅣ' . ‘ -여(해) 가다' is used if ‘하-’ is used."
20190118,네가 안 와서 안 그래도 연락하려던 참이었어.,I was just about to contact you because you didn't come.,AVst으려던/려던 참이다,"It is used after an action verb stem. It is used when someone is performing an action, related by accident. ‘- 려던 참이다’ is used for as the vowel of an action verb stem or ending with ‘ ㄹ’ and ‘-으려던 참이다’ is used if it ends with a consonant."
20190119,네 축가 덕분에 결혼식 분위기가 좋았어.,"Because of your special nuptial song, the wedding atmosphere was good.",N 덕분에,"It is used after noun which indicates that when you have a positive result due to the help related to the preceding noun. When the noun is a person, it can mean that you are being thankful to someone."
20190121,버스를 놓쳐 버렸어.,I missed the bus.,AVst어/아/여 버리다,"It is used with an action verb when someone’s action is entirely completed. The speaker is able to express the regretful feeling or release from the preceding situation or any reaction as a result. ‘-아 버리다' is used for action verb stems with ‘ㅏ, ㅗ' , ‘-어 버리다' is used for the other vowel( ㅓ,ㅜ,ㅡ,ㅣ) , and ‘-여(해) 버리다' is used for ‘하-' as action verb stem."
20190122,저 파란 선을 보고 따라가시면 찾기 쉬워요.,"If you follow that blue line, it will be easy to find.",AVst기 쉽다(어렵다),It is used with action verb. It indicates whether there will be many or less possibilities to be come.
20190123,다음 역에서 일반열차를 타고 다시 돌아오셔야겠네요.,"At the next station, you should take the regular train to come back.",Vst어야겠네요/아야겠네요/여야겠네요.,"It is used after an action verb stem or descriptive verb stem. It is used to express when you give firm suggestions to someone who needs to complete something entirely. ‘-아야겠네요' is used if the last syllable of action verb or descriptive verb stem is ‘ㅏ,ㅗ’. ‘-어야겠네요' is used if the other vowels is ‘ㅓ,ㅜ, ㅡ, ㅣ’ . -여야겠네요(해야겠네요)’ is used if ‘하-’ is used."
20190124,난 너무 피곤했단 말이야.,"I'm telling you, I was so tired.",Vst는단/ㄴ단/단 말이에요.,"It is used with an action verb stem or descriptive verb stem and it is used for expressing the strong his/her own their opinion with righteousness. It might give the opponent a negative feeling. ‘-는단 말이에요’ is used for the consonant ending of action verb stem, and ‘-ㄴ단 말이에요.’ is used if the ending of an action verb stem is a vowel. Otherwise,  '-단 말이에요.’ is used for vowel ending of a descriptive verb stem."
20190125,내릴 때 조심하라는 말도 해 주잖아. 얼마나 친절한데.,"When you get off, they tell you to be careful. How kind of them.",얼마나 Vst는데요/은데요/ㄴ데요.,"It used for the ending of an action verb stem or descriptive verb stem. It indicates that the measurement is very large. '-는데요' is used for after the ending stem of action verb and ‘있다’ ‘없다’, ‘-ㄴ데요’ is used for the vowel or the ending with ‘ㄹ’ of a descriptive verb stem. ‘ -은데요’ is used for the ending of the consonant after a descriptive verb stem."
20190126,재미있긴 뭐가 재미있어? 지하철 붐빌 땐 얼마나 불편한데.,What's so fun about it? It's so inconvenient when the subway is crowded.,DVst기는 뭐가 DVst어요/아요/여요?,"It is used when it expresses the strong negative meaning as the ending of descriptive verb stem. ‘-아요?’ is used if the last syllable of descriptive verb stem is ‘ㅏ, ㅗ’. ‘-어요?’ is used if the last syllable of other vowels is ‘ㅓ,ㅜ,ㅡ,ㅣ’.  ‘-여요(해요)?’ ’ is used if  ‘하-’ is used. '뭐가’ needs to be spoken with an accent."
20190128,저는 오전에 검진을 받았으면 해요.,I wish to have a check up in the morning.,Vst었으면/았으면/였으면 해요.,"It is used with an action verb or descriptive verb stem. It is used when you wish that the speaker could make a decision or lead the intention naturally so that it becomes true. ‘ -았으면’ is used if the last syllable of action verb or descriptive verb stem is ‘ ㅏ, ㅗ’ ‘ -었으면’ is used if the last syllable of other vowels is ‘ㅓ,ㅜ,ㅡ,ㅣ’. ‘ 였으면(했으면)’ is used if ‘ 하-’ is used."
